Order_ID,Order_Date,Customer_ID,Customer_Name,Region,City,Category,Sub_Category,Product_Name,Quantity,Price,Discount,Payment_Mode,Shipping_Cost,Cost_Price,Revenue,Profit
1,2022/01/25,9208,Aarav Verma,West,Pune,Electronics,Laptop,Laptop - Model 328,5,77155,13,Debit Card,320,49717.23,335624.25,86718.09999999998
2,2022/07/23,7944,Ananya Verma,South,Kochi,Beauty,Skincare,Skincare - Model 481,5,1198,21,UPI,404,966.76,4732.1,-505.6999999999998
3,2022/07/25,6429,Rohan Gupta,West,Pune,Home,Furniture,Furniture - Model 942,5,4141,4,Debit Card,416,3441.0,19876.8,2255.7999999999993
4,2023/08/07,9765,Vivaan Kapoor,South,Hyderabad,Clothing,Jeans,Jeans - Model 349,5,4818,23,Debit Card,355,3898.49,18549.3,-1298.1499999999978
5,2023/04/09,7883,Aditya Nair,South,Hyderabad,Clothing,Kurti,Kurti - Model 433,5,1549,4,Credit Card,463,1385.98,7435.2,42.30000000000018
6,2023/06/30,5775,Rohan Nair,East,Bhubaneswar,Beauty,Makeup,Makeup - Model 469,2,2566,10,Debit Card,178,2208.46,4618.8,23.88000000000011
7,2023/06/03,3867,Priya Kapoor,South,Bangalore,Beauty,Makeup,Makeup - Model 650,3,3162,9,COD,386,2593.49,8632.26,465.7900000000009
8,2023/08/09,5589,Ishita Patel,North,Amritsar,Clothing,Kurti,Kurti - Model 396,5,1020,14,UPI,222,692.69,4386.0,700.5499999999997
9,2023/07/24,2599,Ananya Verma,East,Guwahati,Beauty,Fragrance,Fragrance - Model 792,3,2132,26,COD,94,1873.45,4733.04,-981.3100000000004
10,2022/01/13,8808,Vivaan Patel,South,Hyderabad,Home,Bedding,Bedding - Model 636,4,12947,3,Credit Card,81,10578.0,50234.36,7841.360000000001
11,2022/08/08,6527,Vivaan Patel,West,Jaipur,Beauty,Haircare,Haircare - Model 367,2,3636,22,Debit Card,430,2068.13,5672.16,1105.8999999999996
12,2023/03/21,3554,Priya Gupta,East,Guwahati,Clothing,Kurti,Kurti - Model 975,5,2489,13,UPI,124,2077.18,10827.15,317.25
13,2023/03/02,7532,Aarav Patel,South,Coimbatore,Clothing,Jacket,Jacket - Model 559,3,4981,25,Credit Card,234,3615.9,11207.25,125.54999999999927
14,2022/09/05,8226,Rohan Reddy,East,Bhubaneswar,Electronics,Headphones,Headphones - Model 733,2,65987,13,COD,436,38715.34,114817.38,36950.70000000001
15,2023/12/14,1971,Ishita Sharma,South,Coimbatore,Electronics,Headphones,Headphones - Model 658,1,36761,3,COD,87,32023.39,35658.17,3547.779999999999
16,2022/04/06,6815,Vivaan Mehta,North,Lucknow,Electronics,Headphones,Headphones - Model 986,5,70038,27,COD,379,62370.68,255638.69999999998,-56593.70000000004
17,2022/05/08,8898,Karan Reddy,North,Lucknow,Sports,Shoes,Shoes - Model 577,5,11009,6,Debit Card,201,5680.73,51742.299999999996,23137.649999999998
18,2022/01/27,2752,Ananya Singh,North,Delhi,Electronics,Laptop,Laptop - Model 210,2,36923,12,Debit Card,236,30055.89,64984.48,4636.700000000004
19,2023/02/15,5335,Karan Singh,East,Patna,Sports,Fitness Equipment,Fitness Equipment - Model 372,3,21117,30,COD,74,14604.46,44345.7,458.3199999999997
20,2023/11/20,1415,Ishita Mehta,North,Chandigarh,Beauty,Skincare,Skincare - Model 517,5,2206,16,Credit Card,231,1432.75,9265.199999999999,1870.449999999999
21,2023/01/25,6659,Rohan Iyer,East,Patna,Beauty,Fragrance,Fragrance - Model 142,2,601,3,Debit Card,163,362.77,1165.94,277.4000000000001
22,2023/01/11,9533,Ananya Sharma,West,Surat,Home,Kitchenware,Kitchenware - Model 974,3,1199,6,Debit Card,388,868.09,3381.18,388.90999999999985
23,2022/04/27,8117,Priya Singh,East,Patna,Electronics,Smartwatch,Smartwatch - Model 983,5,13352,15,COD,343,7220.89,56746.0,20298.549999999996
24,2023/10/19,9581,Vivaan Verma,South,Chennai,Beauty,Makeup,Makeup - Model 182,5,2792,7,UPI,261,1946.93,12982.8,2987.1499999999996
25,2023/07/01,4772,Ishita Nair,East,Patna,Electronics,Smartwatch,Smartwatch - Model 503,3,70134,11,COD,418,49094.68,187257.78,39555.73999999999
26,2022/09/14,8647,Sneha Reddy,North,Delhi,Home,Furniture,Furniture - Model 658,1,13574,27,Credit Card,86,11294.89,9909.02,-1471.869999999999
27,2023/09/19,4995,Aditya Kapoor,East,Ranchi,Sports,Fitness Equipment,Fitness Equipment - Model 152,4,22130,20,COD,278,15081.18,70816.0,10213.279999999999
28,2023/10/28,5647,Ananya Sharma,East,Kolkata,Sports,Fitness Equipment,Fitness Equipment - Model 300,2,12529,29,UPI,190,9400.96,17791.18,-1200.739999999998
29,2023/10/27,2984,Karan Singh,West,Mumbai,Electronics,Mobile,Mobile - Model 100,5,44042,12,Debit Card,354,34504.53,193784.8,20908.149999999994
30,2023/06/05,5213,Ananya Mehta,South,Hyderabad,Home,Furniture,Furniture - Model 213,3,8668,19,UPI,289,7056.98,21063.24,-396.6999999999971
31,2023/09/07,7371,Karan Sharma,West,Ahmedabad,Clothing,Shirt,Shirt - Model 246,1,618,4,Credit Card,177,342.17,593.28,74.10999999999996
32,2022/09/10,2760,Aditya Singh,West,Ahmedabad,Beauty,Fragrance,Fragrance - Model 216,1,3610,11,Debit Card,329,2090.85,3212.9,793.0500000000002
33,2022/11/14,1069,Ishita Kapoor,West,Jaipur,Beauty,Skincare,Skincare - Model 376,5,1427,11,Debit Card,112,1246.33,6350.150000000001,6.5000000000009095
34,2023/07/04,7142,Ishita Gupta,West,Ahmedabad,Beauty,Haircare,Haircare - Model 228,3,2515,20,Debit Card,210,1975.84,6036.0,-101.51999999999953
35,2023/06/12,8580,Karan Sharma,South,Hyderabad,Beauty,Makeup,Makeup - Model 964,4,831,11,Debit Card,83,467.1,2958.36,1006.96
36,2023/07/22,2107,Karan Sharma,West,Mumbai,Clothing,Shirt,Shirt - Model 166,4,2217,12,UPI,61,1957.37,7803.84,-86.63999999999942
37,2023/12/15,4097,Neha Singh,East,Patna,Clothing,Jacket,Jacket - Model 666,4,2682,14,UPI,157,1850.1,9226.08,1668.6800000000003
38,2022/11/15,2630,Sneha Reddy,East,Bhubaneswar,Beauty,Makeup,Makeup - Model 865,5,2336,20,Credit Card,372,1967.16,9344.0,-863.8000000000011
39,2022/10/23,7816,Aarav Gupta,East,Guwahati,Home,Furniture,Furniture - Model 327,4,13954,8,COD,313,10853.52,51350.72,7623.639999999999
40,2022/09/03,3621,Aditya Reddy,East,Kolkata,Home,Kitchenware,Kitchenware - Model 656,1,5681,29,Debit Card,106,3364.2,4033.5099999999998,563.31
41,2022/03/13,9754,Aditya Iyer,South,Kochi,Beauty,Haircare,Haircare - Model 823,1,3207,20,UPI,64,1941.38,2565.6000000000004,560.2200000000003
42,2022/06/30,1133,Karan Kapoor,West,Surat,Sports,Cycling,Cycling - Model 125,1,17730,7,Credit Card,138,13312.06,16488.899999999998,3038.8399999999983
43,2023/08/17,9371,Sneha Singh,East,Patna,Home,Bedding,Bedding - Model 425,2,2817,3,Debit Card,50,2137.12,5464.98,1140.7399999999998
44,2022/09/17,4867,Sneha Iyer,North,Jaipur,Sports,Fitness Equipment,Fitness Equipment - Model 211,2,10563,13,Debit Card,187,5886.87,18379.62,6418.879999999999
45,2022/03/31,9373,Priya Verma,West,Pune,Sports,Cycling,Cycling - Model 483,5,15036,11,COD,231,12048.7,66910.2,6435.699999999997
46,2023/09/29,9174,Neha Sharma,West,Surat,Home,Furniture,Furniture - Model 923,2,3252,28,Debit Card,79,2635.27,4682.88,-666.6599999999999
47,2023/09/27,3998,Rohan Nair,South,Bangalore,Beauty,Makeup,Makeup - Model 728,5,3827,11,COD,231,1953.79,17030.15,7030.200000000001
48,2022/08/29,2617,Ishita Gupta,West,Surat,Clothing,Jeans,Jeans - Model 822,5,1340,8,Credit Card,355,1046.21,6164.0,577.9499999999998
49,2022/02/28,4474,Sneha Kapoor,North,Lucknow,Electronics,Smartwatch,Smartwatch - Model 863,2,58382,7,UPI,420,37781.13,108590.51999999999,32608.259999999995
50,2023/10/06,1824,Priya Sharma,South,Chennai,Beauty,Haircare,Haircare - Model 275,4,3565,24,Credit Card,166,1888.58,10837.6,3117.2800000000007
51,2022/04/11,9219,Ananya Kapoor,North,Lucknow,Sports,Cricket Gear,Cricket Gear - Model 356,4,6536,28,Debit Card,195,4972.62,18823.68,-1261.7999999999993
52,2022/03/08,1647,Ishita Reddy,South,Hyderabad,Electronics,Smartwatch,Smartwatch - Model 108,4,28690,22,COD,288,14355.64,89512.8,31802.240000000005
53,2023/11/04,2728,Ananya Verma,West,Ahmedabad,Sports,Fitness Equipment,Fitness Equipment - Model 980,5,19069,9,UPI,312,13470.34,86763.95,19100.25
54,2022/06/28,4637,Aditya Nair,South,Kochi,Clothing,Kurti,Kurti - Model 618,2,2536,20,Credit Card,403,1374.92,4057.6000000000004,904.7600000000002
55,2023/05/29,2879,Ananya Kapoor,West,Ahmedabad,Clothing,Shirt,Shirt - Model 374,5,2506,21,Debit Card,154,1559.9,9898.7,1945.2000000000007
56,2022/07/24,8083,Ananya Kapoor,West,Jaipur,Sports,Cricket Gear,Cricket Gear - Model 124,5,15192,12,COD,401,11641.09,66844.8,8238.350000000006
57,2023/09/20,8371,Aditya Iyer,East,Guwahati,Beauty,Makeup,Makeup - Model 113,1,1892,28,COD,98,1096.39,1362.24,167.8499999999999
58,2022/12/08,2279,Neha Singh,North,Jaipur,Home,Bedding,Bedding - Model 388,1,8772,20,COD,309,5703.28,7017.6,1005.3200000000006
59,2022/10/30,1233,Ishita Iyer,East,Patna,Beauty,Skincare,Skincare - Model 779,3,677,5,Debit Card,100,475.07,1929.4499999999998,404.2399999999998
60,2022/05/30,9256,Ishita Verma,South,Bangalore,Home,Decor,Decor - Model 276,4,7685,5,UPI,383,6373.49,29203.0,3326.040000000001
61,2023/03/10,8952,Aditya Singh,East,Bhubaneswar,Electronics,Headphones,Headphones - Model 684,1,57162,22,UPI,433,31162.87,44586.36,12990.490000000002
62,2022/01/27,3622,Aditya Sharma,North,Lucknow,Electronics,Laptop,Laptop - Model 864,5,57135,5,Debit Card,441,43490.24,271391.25,53499.05000000002
63,2023/05/29,2152,Aarav Sharma,North,Lucknow,Electronics,Mobile,Mobile - Model 442,5,15405,28,UPI,113,9569.22,55458.0,7498.9000000000015
64,2022/01/07,6326,Neha Mehta,East,Kolkata,Beauty,Makeup,Makeup - Model 150,4,1395,29,UPI,479,1112.58,3961.7999999999997,-967.52
65,2023/01/06,7646,Sneha Verma,South,Chennai,Clothing,Jacket,Jacket - Model 788,1,2734,5,COD,226,2064.77,2597.2999999999997,306.52999999999975
66,2022/03/03,6202,Sneha Patel,West,Surat,Beauty,Skincare,Skincare - Model 968,3,1899,19,Debit Card,95,1308.3,4614.570000000001,594.670000000001
67,2022/01/21,4113,Aarav Iyer,West,Mumbai,Electronics,Smartwatch,Smartwatch - Model 121,2,42666,5,Credit Card,68,27232.65,81065.4,26532.09999999999
68,2022/07/25,8258,Vivaan Nair,South,Chennai,Beauty,Fragrance,Fragrance - Model 199,1,4910,17,COD,375,4107.72,4075.2999999999997,-407.4200000000005
69,2022/09/12,5026,Aarav Mehta,South,Chennai,Clothing,Shirt,Shirt - Model 217,4,2206,3,COD,431,1806.86,8559.28,900.840000000001
70,2022/07/30,4152,Rohan Gupta,West,Mumbai,Clothing,Kurti,Kurti - Model 115,1,2547,13,Credit Card,144,1700.56,2215.89,371.3299999999999
71,2022/02/07,9694,Sneha Verma,East,Ranchi,Home,Bedding,Bedding - Model 249,2,19429,29,Credit Card,423,17046.71,27589.18,-6927.239999999998
72,2022/09/05,5554,Neha Iyer,East,Bhubaneswar,Sports,Cricket Gear,Cricket Gear - Model 458,1,11467,16,Debit Card,171,8344.69,9632.279999999999,1116.5899999999983
73,2023/06/13,1493,Aditya Kapoor,South,Bangalore,Electronics,Mobile,Mobile - Model 475,5,38084,17,COD,264,22290.79,158048.6,46330.649999999994
74,2022/11/21,7223,Ishita Sharma,South,Kochi,Sports,Cricket Gear,Cricket Gear - Model 242,5,19908,5,Debit Card,275,12007.12,94563.0,34252.399999999994
75,2023/12/03,2723,Priya Singh,North,Jaipur,Sports,Cycling,Cycling - Model 681,3,22908,21,COD,236,14558.97,54291.96,10379.050000000003
76,2022/08/29,2780,Rohan Nair,North,Jaipur,Electronics,Smartwatch,Smartwatch - Model 512,1,61901,25,Credit Card,248,51001.54,46425.75,-4823.790000000001
77,2022/02/24,8069,Ishita Kapoor,West,Mumbai,Clothing,Jacket,Jacket - Model 536,2,3272,4,Credit Card,478,2878.63,6282.24,46.97999999999956
78,2023/03/22,4752,Rohan Mehta,West,Mumbai,Clothing,Jacket,Jacket - Model 222,3,551,20,COD,185,353.99,1322.4,75.43000000000006
79,2023/02/01,4783,Karan Mehta,West,Mumbai,Beauty,Makeup,Makeup - Model 511,4,1008,4,Debit Card,344,511.06,3870.72,1482.4799999999998
80,2023/01/06,3890,Sneha Sharma,East,Patna,Clothing,Jacket,Jacket - Model 737,4,4357,1,UPI,333,2304.06,17253.72,7704.480000000001
81,2023/12/09,6393,Karan Nair,East,Bhubaneswar,Clothing,Shirt,Shirt - Model 234,2,4300,3,UPI,358,3867.26,8342.0,249.47999999999956
82,2022/11/10,8342,Karan Patel,West,Jaipur,Home,Bedding,Bedding - Model 219,4,15925,8,UPI,378,8826.26,58604.0,22920.96
83,2022/11/05,7636,Karan Kapoor,West,Surat,Sports,Cycling,Cycling - Model 774,2,17067,21,Credit Card,206,9032.66,26965.86,8694.54
84,2023/07/19,4047,Vivaan Verma,North,Amritsar,Electronics,Laptop,Laptop - Model 694,2,39278,1,COD,99,20062.36,77770.44,37546.72
85,2022/10/04,8901,Neha Reddy,South,Coimbatore,Home,Kitchenware,Kitchenware - Model 216,3,13183,22,Debit Card,284,7195.45,30848.22,8977.870000000003
86,2023/04/11,4471,Rohan Sharma,North,Delhi,Electronics,Laptop,Laptop - Model 257,3,18531,12,Debit Card,66,9383.04,48921.840000000004,20706.72
87,2022/08/02,3105,Vivaan Verma,East,Ranchi,Sports,Cricket Gear,Cricket Gear - Model 628,3,3226,1,Credit Card,141,2756.42,9581.22,1170.9599999999991
88,2023/08/03,4235,Sneha Nair,West,Jaipur,Electronics,Headphones,Headphones - Model 515,1,59501,9,UPI,320,46976.28,54145.91,6849.630000000005
89,2022/10/18,7416,Rohan Iyer,South,Chennai,Beauty,Skincare,Skincare - Model 712,2,2849,21,Debit Card,475,1693.59,4501.42,639.2400000000002
90,2022/12/21,4038,Rohan Gupta,North,Amritsar,Electronics,Mobile,Mobile - Model 400,2,38314,9,COD,158,29604.68,69731.48,10364.119999999995
91,2023/11/21,1636,Ananya Gupta,East,Bhubaneswar,Electronics,Laptop,Laptop - Model 398,2,61130,24,UPI,241,49528.27,92917.6,-6379.939999999988
