Order_ID,Order_Date,Customer_ID,Customer_Name,Region,City,Category,Sub_Category,Product_Name,Quantity,Price,Discount,Payment_Mode,Shipping_Cost,Cost_Price
1,2022/01/25,9208,Aarav Verma,West,Pune,Electronics,Laptop,Laptop - Model 328,5,77155,13,Debit Card,320,49717.23
2,2022/07/23,7944,Ananya Verma,South,Kochi,Beauty,Skincare,Skincare - Model 481,5,1198,21,UPI,404,966.76
3,2022/07/25,6429,Rohan Gupta,West,Pune,Home,Furniture,Furniture - Model 942,5,4141,4,Debit Card,416,3441
4,2023/08/07,9765,Vivaan Kapoor,South,Hyderabad,Clothing,Jeans,Jeans - Model 349,5,4818,23,Debit Card,355,3898.49
5,2023/04/09,7883,Aditya Nair,South,Hyderabad,Clothing,Kurti,Kurti - Model 433,5,1549,4,Credit Card,463,1385.98
6,2023/06/30,5775,Rohan Nair,East,Bhubaneswar,Beauty,Makeup,Makeup - Model 469,2,2566,10,Debit Card,178,2208.46
7,2023/06/03,3867,Priya Kapoor,South,Bangalore,Beauty,Makeup,Makeup - Model 650,3,3162,9,COD,386,2593.49
8,2023/08/09,5589,Ishita Patel,North,Amritsar,Clothing,Kurti,Kurti - Model 396,5,1020,14,UPI,222,692.69
9,2023/07/24,2599,Ananya Verma,East,Guwahati,Beauty,Fragrance,Fragrance - Model 792,3,2132,26,COD,94,1873.45
10,2022/01/13,8808,Vivaan Patel,South,Hyderabad,Home,Bedding,Bedding - Model 636,4,12947,3,Credit Card,81,10578
11,2022/08/08,6527,Vivaan Patel,West,Jaipur,Beauty,Haircare,Haircare - Model 367,2,3636,22,Debit Card,430,2068.13
12,2023/03/21,3554,Priya Gupta,East,Guwahati,Clothing,Kurti,Kurti - Model 975,5,2489,13,UPI,124,2077.18
13,2023/03/02,7532,Aarav Patel,South,Coimbatore,Clothing,Jacket,Jacket - Model 559,3,4981,25,Credit Card,234,3615.9
14,2022/09/05,8226,Rohan Reddy,East,Bhubaneswar,Electronics,Headphones,Headphones - Model 733,2,65987,13,COD,436,38715.34
15,2023/12/14,1971,Ishita Sharma,South,Coimbatore,Electronics,Headphones,Headphones - Model 658,1,36761,3,COD,87,32023.39
16,2022/04/06,6815,Vivaan Mehta,North,Lucknow,Electronics,Headphones,Headphones - Model 986,5,70038,27,COD,379,62370.68
17,2022/05/08,8898,Karan Reddy,North,Lucknow,Sports,Shoes,Shoes - Model 577,5,11009,6,Debit Card,201,5680.73
18,2022/01/27,2752,Ananya Singh,North,Delhi,Electronics,Laptop,Laptop - Model 210,2,36923,12,Debit Card,236,30055.89
19,2023/02/15,5335,Karan Singh,East,Patna,Sports,Fitness Equipment,Fitness Equipment - Model 372,3,21117,30,COD,74,14604.46
20,2023/11/20,1415,Ishita Mehta,North,Chandigarh,Beauty,Skincare,Skincare - Model 517,5,2206,16,Credit Card,231,1432.75
21,2023/01/25,6659,Rohan Iyer,East,Patna,Beauty,Fragrance,Fragrance - Model 142,2,601,3,Debit Card,163,362.77
22,2023/01/11,9533,Ananya Sharma,West,Surat,Home,Kitchenware,Kitchenware - Model 974,3,1199,6,Debit Card,388,868.09
23,2022/04/27,8117,Priya Singh,East,Patna,Electronics,Smartwatch,Smartwatch - Model 983,5,13352,15,COD,343,7220.89
24,2023/10/19,9581,Vivaan Verma,South,Chennai,Beauty,Makeup,Makeup - Model 182,5,2792,7,UPI,261,1946.93
25,2023/07/01,4772,Ishita Nair,East,Patna,Electronics,Smartwatch,Smartwatch - Model 503,3,70134,11,COD,418,49094.68
26,2022/09/14,8647,Sneha Reddy,North,Delhi,Home,Furniture,Furniture - Model 658,1,13574,27,Credit Card,86,11294.89
27,2023/09/19,4995,Aditya Kapoor,East,Ranchi,Sports,Fitness Equipment,Fitness Equipment - Model 152,4,22130,20,COD,278,15081.18
28,2023/10/28,5647,Ananya Sharma,East,Kolkata,Sports,Fitness Equipment,Fitness Equipment - Model 300,2,12529,29,UPI,190,9400.96
29,2023/10/27,2984,Karan Singh,West,Mumbai,Electronics,Mobile,Mobile - Model 100,5,44042,12,Debit Card,354,34504.53
30,2023/06/05,5213,Ananya Mehta,South,Hyderabad,Home,Furniture,Furniture - Model 213,3,8668,19,UPI,289,7056.98
31,2023/09/07,7371,Karan Sharma,West,Ahmedabad,Clothing,Shirt,Shirt - Model 246,1,618,4,Credit Card,177,342.17
